order_id,customer_id,resturant_id,order_item,order_date,order_time,order_status,total_amount
1,70,31, Ragda Pattice,10-04-2024,14:02:34,Refunded,318
2,52,19, Bhindi Masala,19-04-2024,15:48:18,Returned,209
3,8,93,Medu vada,06-12-2024,18:37:10,Cancelled,368
4,30,55, Sev Puri,06-10-2024,06:49:47,Completed,389
5,72,14,Veg Biryani,03-05-2024,17:00:47,Cancelled,283
6,21,23, Khaman,10-05-2024,19:04:58,Shipped,365
7,64,19, Pani Puri,20-08-2023,07:20:06,Refunded,333
8,15,6, Pesarattu Upma,29-09-2024,06:22:40,Cancelled,431
9,23,10, Pav Bhaji,12-08-2024,06:13:31,Completed,367
10,17,38, Ragda Pattice,03-01-2023,09:46:10,Shipped,350
11,48,20, Veg Hakka Noodles,13-11-2024,14:06:18,Delivered,408
12,91,75, Lemon Rice,24-02-2023,10:06:05,Processing,283
13,52,19, Dal Tadka,12-01-2023,17:11:45,Delivered,240
14,91,76, Avial,20-11-2023,14:41:08,Cancelled,267
15,26,8, Veg Frankies,15-02-2024,12:35:58,Processing,298
16,78,31, Baingan Bharta,10-05-2023,13:28:24,Cancelled,310
17,67,95, Veg Spring Roll,15-03-2024,15:21:18,Pending,415
18,17,84, Lauki Kofta,29-08-2023,13:39:35,Processing,335
19,20,89, Dal Makhani,11-05-2024,14:46:52,Failed,387
20,71,11, Kadai Paneer,05-07-2023,12:39:52,Returned,263
21,48,76, Aloo Gobi,13-07-2024,13:11:08,Failed,302
22,69,81, Tomato Rice,25-07-2023,22:14:36,Shipped,353
23,26,35, Veg Kurma,04-10-2024,15:05:26,Failed,314
24,19,41, Rava Dosa,09-08-2023,18:50:40,Failed,323
25,26,7, Rava Upma,23-10-2024,12:35:17,On Hold,331
26,48,11, Dhokla,08-10-2024,11:27:24,Failed,241
27,68,93, Lemon Rice,12-02-2023,10:20:26,Returned,346
28,48,74, Lauki Kofta,09-11-2024,19:44:02,On Hold,275
29,16,85, Baingan Bharta,17-11-2024,12:36:03,Returned,243
30,81,70, Gobi Paratha,16-12-2023,20:25:13,Shipped,279
31,23,31, Veg Pakora,17-05-2023,14:59:40,Shipped,218
32,48,66, Bhel Puri,23-11-2024,09:24:58,Processing,200
33,92,86, Onion Bhaji,03-05-2023,06:01:06,Returned,336
34,43,61, Paneer Korma,01-09-2023,19:29:08,On Hold,227
35,50,57, Veg Hakka Noodles,25-10-2023,15:23:10,Failed,323
36,48,46, Paneer Tikka,29-07-2024,16:08:42,Returned,274
37,69,8, Pesarattu Upma,10-07-2024,15:03:03,Returned,262
38,27,76, Sambar,30-03-2024,17:00:51,Delivered,400
39,48,1, Rajma Masala,20-04-2024,17:52:30,Returned,334
40,92,48, Bhindi Masala,24-04-2024,21:00:57,Returned,400
41,34,11, Baingan Masala,02-05-2023,21:13:12,Refunded,212
42,78,47, Dal Makhani,27-04-2024,20:16:13,Shipped,304
43,72,34, Veg Samosa,09-09-2023,06:33:18,Shipped,278
44,85,21, Chana Masala,16-08-2023,06:40:02,Returned,229
45,9,39, Dhokla,12-05-2024,17:01:14,Failed,317
46,35,58, Patra,11-04-2024,20:34:17,Cancelled,296
47,52,18, Bisibelebath,05-01-2024,19:41:33,Pending,429
48,22,57, Palak Paneer,31-07-2023,22:28:09,Completed,299
49,16,92, Lauki Kofta,17-02-2024,20:34:25,Shipped,282
50,72,67, Dhokla,04-04-2024,06:20:27,Returned,244
51,73,19, Ragda Pattice,11-06-2023,13:23:43,On Hold,225
52,26,29, Khaman,27-03-2024,11:39:51,Refunded,327
53,48,85, Kadai Paneer,12-05-2023,09:55:20,Delivered,386
54,40,4, Rajma Masala,11-04-2023,19:03:30,Delivered,250
55,26,72, Veg Spring Roll,20-10-2024,14:35:52,Processing,201
56,14,12, Dal Dhokli,03-11-2023,16:53:57,Returned,348
57,16,50, Rajma Masala,08-11-2024,14:26:27,Processing,271
58,40,4, Dal Tadka,12-11-2023,20:00:09,Returned,316
59,48,17, Paneer Tikka,11-02-2024,13:17:22,Pending,255
60,78,15, Pani Puri,05-01-2023,21:37:50,Processing,265
61,61,8, Veg Pakora,26-07-2023,13:06:38,Refunded,333
62,48,90, Gobi Paratha,12-09-2024,20:46:29,Refunded,234
63,26,59, Malabar Parotta,15-12-2024,18:34:56,Delivered,400
64,92,30, Cabbage Poriyal,27-07-2023,19:14:23,Failed,307
65,45,53, Avial,14-01-2023,14:31:44,On Hold,387
66,20,40, Dal Dhokli,14-06-2024,07:25:39,Cancelled,311
67,47,24, Pesarattu Upma,13-06-2023,19:07:40,Processing,348
68,48,67, Masoor Dal,17-01-2024,18:19:22,Failed,215
69,52,72, Malabar Parotta,14-08-2023,10:27:09,Failed,228
70,79,42, Masoor Dal,03-10-2024,08:23:10,Delivered,239
71,48,81, Mysore Dosa,06-11-2023,16:27:43,Failed,303
72,33,19, Aloo Gobi,05-10-2023,07:05:05,Returned,385
73,54,41, Rava Dosa,16-09-2023,16:46:46,Delivered,337
74,74,36, Mysore Dosa,28-07-2024,11:14:42,Pending,344
75,80,38, Veg Hakka Noodles,12-02-2023,10:10:23,Returned,415
76,57,16, Uttapam,23-03-2023,10:17:19,Failed,237
77,92,48, Veg Momos,10-12-2023,12:37:45,On Hold,382
78,83,2, Baingan Bharta,31-07-2023,08:58:43,Delivered,242
79,9,44, Patra,13-12-2024,15:20:38,Delivered,437
80,77,43, Medu Vada,03-02-2024,14:58:43,Pending,381
81,26,23, Pesarattu Upma,19-10-2023,21:28:07,Pending,418
82,31,45, Veg Manchurian,20-04-2023,17:13:06,On Hold,244
83,48,74, Mysore Dosa,28-10-2023,20:47:23,Delivered,357
84,48,18, Matar Paneer,04-08-2024,17:04:18,Refunded,341
85,63,17, Dhokla,03-01-2024,17:22:11,Delivered,348
86,48,45, Beetroot Thoran,22-02-2024,22:14:00,Delivered,433
87,70,27, Pongal,28-05-2024,16:48:28,Processing,450
88,70,29, Tomato Rice,05-06-2023,06:50:30,Pending,274
89,26,56, Aloo Gobi,22-05-2023,11:31:56,Delivered,391
90,18,67, Onion Bhaji,14-07-2023,20:23:13,Failed,298
91,48,97, Khichdi,01-03-2023,07:07:47,Refunded,417
92,16,74, Veg Biryani,29-05-2023,17:55:00,On Hold,291
93,30,67, Palak Paneer,13-03-2023,12:12:13,Cancelled,441
94,32,10, Paneer Korma,22-11-2024,09:13:28,Refunded,288
95,34,39, Veg Samosa,08-10-2023,13:30:44,Cancelled,443
96,38,9, Mysore Dosa,04-04-2024,10:33:16,Delivered,278
97,26,95, Avial,03-10-2024,19:58:05,Processing,207
98,48,79, Khaman,11-01-2024,09:30:25,Delivered,322
99,23,50, Paneer Tikka,25-01-2024,14:37:04,Delivered,333
100,26,99, Pongal,16-09-2024,16:33:35,Failed,323
101,50,99, Beetroot Thoran,16-09-2023,14:58:53,On Hold,328
102,71,6, Pindi Chole,26-06-2024,08:55:22,Processing,307
103,48,100, Hara Bhara Kabab,18-09-2024,08:41:25,On Hold,432
104,79,14, Veg Hakka Noodles,12-09-2023,10:48:58,Returned,315
105,78,99, Onion Bhaji,22-06-2023,07:44:01,Processing,291
106,26,73, Vegetable Kathi Roll,10-09-2023,14:27:46,Cancelled,245
107,48,82, Patra,15-04-2024,12:53:03,Completed,331
108,74,12, Dal Dhokli,14-03-2024,15:03:35,Cancelled,316
109,54,98, Veg Frankies,10-06-2024,15:17:24,Delivered,424
110,48,74, Veg Hakka Noodles,07-03-2023,18:47:34,Refunded,240
111,63,100, Baingan Masala,06-01-2024,13:22:07,Completed,209
112,74,37, Veg Pakora,11-07-2023,12:12:48,On Hold,247
113,26,51, Tomato Rice,29-05-2023,07:45:53,Refunded,328
114,48,86, Palak Paneer,22-08-2023,18:22:24,Pending,285
115,48,14, Jackfruit Curry,28-06-2024,20:04:29,Completed,441
116,26,19, Rasam,08-02-2023,06:31:42,Cancelled,350
117,34,56, Baingan Bharta,16-03-2024,07:00:20,Refunded,264
118,31,53, Paneer Butter Masala,31-05-2023,11:06:55,Cancelled,237
119,48,84, Baingan Bharta,27-02-2024,19:54:48,Delivered,235
120,11,43, Medu Vada,06-04-2024,13:50:22,Pending,238
121,92,84, Undhiyu,15-06-2024,19:20:09,On Hold,281
122,44,84, Palak Paneer,14-09-2024,15:08:40,Shipped,301
123,63,40, Beetroot Thoran,11-07-2023,15:00:53,Returned,408
124,91,67, Dal Tadka,26-02-2024,16:58:05,Processing,339
125,79,13,Medu vada,07-04-2023,18:13:47,On Hold,327
126,48,95, Gobi Paratha,12-12-2023,20:17:11,On Hold,263
127,56,12, Paneer Korma,12-08-2023,08:00:39,Completed,375
128,93,11, Khaman,05-02-2023,21:30:39,On Hold,372
129,91,21, Patra,22-06-2023,12:22:59,Failed,272
130,18,64, Paneer Butter Masala,22-05-2023,11:14:35,Returned,448
131,79,19, Veg Hakka Noodles,10-02-2023,14:12:42,Processing,209
132,26,81, Cabbage Poriyal,01-01-2023,08:39:20,Pending,448
133,15,93, Masoor Dal,26-06-2023,14:51:53,Failed,369
134,26,85, Pindi Chole,08-07-2024,07:48:57,Completed,315
135,26,34, Dal Tadka,14-09-2024,22:15:05,Refunded,342
136,71,10, Veg Frankies,03-02-2024,20:07:51,Pending,233
137,48,98, Paneer Makhmali,09-08-2023,18:30:35,Pending,379
138,48,54, Cabbage Poriyal,14-12-2024,11:55:28,Returned,299
139,14,11, Veg Momos,08-08-2024,06:06:57,Returned,276
140,50,72, Veg Spring Roll,20-03-2023,14:11:39,Pending,307
141,26,48, Tamarind Rice,28-04-2023,18:51:09,On Hold,377
142,25,70, Rasam,15-07-2023,20:41:38,Shipped,202
143,74,49, Bisibelebath,04-01-2024,10:20:15,Delivered,230
144,74,33, Dhokla,02-01-2024,19:28:49,On Hold,325
145,26,64, Undhiyu,21-08-2023,19:50:12,Shipped,406
146,26,27, Paneer Butter Masala,08-12-2023,10:35:18,Failed,281
147,88,85, Veg Hakka Noodles,08-09-2023,12:34:26,Processing,387
148,26,34, Malai Kofta,01-06-2023,17:06:02,On Hold,310
149,33,13,Medu vada,02-09-2024,17:20:37,Processing,444
150,5,51, Veg Manchurian,04-05-2023,18:12:14,Failed,248
151,48,51, Sheera,21-04-2023,06:37:02,Failed,329
152,26,36, Veg Hakka Noodles,14-02-2024,08:27:12,Processing,233
153,52,37, Pongal,09-06-2023,20:08:10,Pending,448
154,48,44, Paneer Korma,26-09-2024,08:57:37,Shipped,407
155,67,41, Onion Bhaji,30-07-2024,21:11:41,Returned,260
156,79,39, Veg Manchurian,19-03-2023,19:57:32,Processing,264
157,26,49, Jeera Aloo,13-11-2024,12:16:50,On Hold,401
158,92,41, Masoor Dal,22-03-2023,21:04:40,Refunded,215
159,48,59, Vegetable Kathi Roll,19-02-2024,20:28:48,Processing,357
160,25,41, Malai Kofta,07-08-2023,12:13:04,Returned,382
161,93,21, Handvo,26-07-2024,16:11:04,Returned,291
162,70,72, Jackfruit Curry,19-11-2024,12:28:39,Pending,320
163,91,90, Lauki Kofta,23-03-2023,06:31:38,Pending,295
164,26,33, Bhindi Masala,06-08-2024,08:21:18,Returned,331
165,92,71, Avial,08-10-2024,19:16:50,Returned,209
166,85,19, Veg Frankies,23-12-2023,08:41:09,Shipped,285
167,26,3,Medu vada,12-02-2023,17:16:48,Completed,372
168,17,17, Uttapam,20-10-2024,06:27:43,Shipped,241
169,27,29, Malabar Parotta,26-05-2024,21:34:20,Completed,259
170,23,16, Bhel Puri,22-10-2023,11:58:29,Completed,282
171,8,5, Veg Momos,09-03-2023,22:18:55,Processing,257
172,25,4, Rava Upma,30-11-2024,13:05:28,Processing,371
173,26,81, Paneer Korma,11-04-2024,11:18:52,Returned,384
174,22,56, Veg Pakora,26-03-2024,07:55:30,Returned,246
175,27,91, Sambar,15-05-2023,06:29:50,Cancelled,362
176,85,34, Tamarind Rice,24-05-2024,21:50:01,Shipped,411
177,17,97, Veg Samosa,13-03-2024,10:07:12,On Hold,427
178,96,40, Aloo Tikki,01-02-2024,16:14:15,Failed,258
179,33,60, Jeera Aloo,29-11-2023,22:13:45,Shipped,225
180,26,41, Hara Bhara Kabab,28-12-2023,13:12:25,Shipped,261
181,94,15, Chole Bhature,29-07-2023,11:33:15,Delivered,284
182,31,17, Cabbage Poriyal,19-03-2024,11:27:49,Refunded,236
