delivery_id,order_id,delivery_status,delivery_time,rider_id
1126,1,Not Delivered,14:56:08,6
8692,2,Not Delivered,17:15:59,85
9863,3,Not Delivered,18:57:47,71
3539,4,Delivered,07:20:18,26
3738,5,Not Delivered,17:02:02,1
4031,6,Not Delivered,19:10:29,97
6603,7,Delivered,07:38:03,4
9149,8,Not Delivered,06:38:46,47
8883,9,Delivered,08:06:43,88
5810,10,Delivered,11:36:54,97
8185,11,Not Delivered,14:33:53,68
2999,12,Delivered,11:22:42,95
1321,13,Not Delivered,18:07:09,14
866,14,Not Delivered,15:58:09,95
7841,15,Delivered,14:22:15,44
6810,16,Not Delivered,15:14:10,32
2353,17,Delivered,16:08:41,56
4695,18,Delivered,13:47:41,42
5580,19,Delivered,16:43:46,46
786,20,Not Delivered,14:35:49,35
6883,21,Not Delivered,14:06:59,100
7014,22,Delivered,22:19:07,73
8824,23,Not Delivered,16:30:30,96
8407,24,Not Delivered,20:46:33,7
1570,25,Not Delivered,13:38:51,28
144,26,Delivered,12:04:52,39
4949,28,Delivered,21:25:43,46
2471,29,Not Delivered,12:36:35,10
1905,30,Not Delivered,20:45:43,98
6635,31,Delivered,15:21:34,12
9166,32,Not Delivered,10:52:05,48
5322,33,Not Delivered,06:13:19,39
7582,34,Not Delivered,20:16:36,17
3793,35,Not Delivered,15:59:25,64
5470,36,Not Delivered,17:03:21,99
4191,37,Not Delivered,15:08:41,7
5019,38,Not Delivered,17:20:42,76
5881,39,Delivered,18:19:13,37
7110,40,Not Delivered,22:53:41,32
6315,41,Not Delivered,21:55:13,92
2844,42,Not Delivered,21:39:07,100
4289,43,Delivered,08:11:34,15
3885,44,Not Delivered,07:50:52,55
8807,45,Delivered,18:46:36,13
2187,46,Not Delivered,21:09:22,98
4212,47,Not Delivered,21:00:32,30
6604,48,Delivered,22:53:09,93
7211,49,Not Delivered,21:11:19,46
9776,50,Not Delivered,07:40:43,34
6132,51,Delivered,13:35:31,39
9201,52,Delivered,13:29:28,45
7353,53,Delivered,11:05:31,11
8518,54,Not Delivered,19:50:35,96
934,55,Delivered,16:16:45,2
9678,56,Delivered,17:49:25,37
2457,57,Not Delivered,15:12:19,71
9211,58,Not Delivered,20:26:28,26
2333,59,Not Delivered,14:05:17,6
6782,60,Delivered,22:43:08,35
7920,62,Delivered,20:59:23,95
8191,63,Delivered,19:45:29,82
1384,64,Not Delivered,21:00:25,63
7689,67,Delivered,19:39:07,95
9535,68,Not Delivered,18:23:22,58
8396,69,Delivered,10:33:37,65
8318,70,Delivered,09:44:26,32
9791,71,Not Delivered,17:24:05,25
767,73,Delivered,16:48:16,100
2967,74,Not Delivered,13:08:56,11
8680,75,Delivered,11:14:28,92
3089,76,Not Delivered,11:34:28,2
2173,77,Not Delivered,14:08:11,31
7325,78,Not Delivered,10:13:05,14
4386,79,Not Delivered,16:37:35,77
3623,80,Not Delivered,16:49:42,39
9315,81,Delivered,22:33:33,95
3162,82,Delivered,17:54:16,82
4830,83,Not Delivered,22:26:26,8
9501,84,Not Delivered,18:09:34,66
7420,85,Delivered,18:22:32,38
1417,86,Not Delivered,22:48:23,99
2114,87,Delivered,17:28:17,76
5089,88,Delivered,08:06:57,51
281,89,Delivered,12:20:56,48
5915,90,Delivered,21:05:42,45
4910,91,Delivered,08:53:34,91
8251,92,Delivered,19:46:33,68
8566,93,Not Delivered,13:56:20,36
69,94,Not Delivered,10:38:15,33
1000,95,Not Delivered,14:39:55,13
5332,96,Delivered,12:27:04,14
7903,97,Delivered,20:37:10,40
3531,98,Delivered,09:58:24,98
8365,99,Not Delivered,16:00:59,82
1040,100,Not Delivered,18:09:12,38
7165,101,Not Delivered,15:29:12,81
9302,102,Delivered,10:34:27,17
2354,103,Not Delivered,10:24:02,45
3160,104,Not Delivered,11:23:22,64
2030,105,Delivered,09:02:14,29
8317,106,Not Delivered,15:18:57,69
35,107,Delivered,14:48:09,28
4280,108,Not Delivered,16:46:47,46
8722,109,Not Delivered,16:36:49,66
2429,110,Not Delivered,18:51:33,33
9574,111,Delivered,14:42:11,50
9226,112,Delivered,12:58:17,92
118,113,Delivered,08:21:06,45
8500,114,Not Delivered,19:27:56,96
9197,115,Delivered,21:28:24,64
2937,116,Delivered,07:02:09,46
5562,117,Not Delivered,07:47:48,76
3191,118,Not Delivered,11:23:17,34
886,119,Not Delivered,20:07:13,98
1391,120,Not Delivered,13:51:10,63
4346,121,Not Delivered,20:49:52,91
5945,122,Delivered,16:53:26,2
3063,123,Delivered,16:28:21,76
1424,124,Not Delivered,17:14:28,52
8629,125,Delivered,19:43:25,23
2182,126,Not Delivered,20:36:07,59
4465,127,Delivered,09:02:45,98
2213,128,Delivered,22:48:11,60
6001,129,Not Delivered,13:35:33,91
6211,130,Not Delivered,11:45:10,59
9132,131,Delivered,14:38:19,52
4284,132,Not Delivered,10:31:05,87
2786,133,Not Delivered,16:20:57,21
9570,134,Not Delivered,08:34:46,72
3317,135,Not Delivered,22:47:50,27
4541,136,Delivered,20:33:49,56
9713,137,Delivered,19:13:58,29
8195,139,Not Delivered,07:58:51,4
2822,140,Delivered,15:34:06,84
3054,141,Delivered,20:16:14,25
9131,142,Delivered,22:28:25,74
3491,143,Not Delivered,11:00:42,25
1152,144,Delivered,19:32:12,95
4071,145,Not Delivered,20:43:16,13
1951,146,Delivered,10:53:16,26
674,147,Delivered,13:56:34,47
9768,148,Not Delivered,17:58:07,77
1612,149,Not Delivered,19:01:54,23
3486,150,Delivered,18:21:02,89
6338,151,Not Delivered,07:46:06,51
